equipment_id,equipment_type,age_years
EQ_0000,Dump Truck,3.869124415727334
EQ_0001,Bulldozer,9.899760690512686
EQ_0002,Bulldozer,12.258333003018237
EQ_0003,Bulldozer,8.328012173991935
EQ_0004,Excavator,7.944758675340097
EQ_0005,Bulldozer,3.627784363506775
EQ_0006,Excavator,1.396541517088488
EQ_0007,Bulldozer,13.458236369299902
EQ_0008,Dump Truck,13.506270857449957
EQ_0009,Dump Truck,9.496521859099019
EQ_0010,Crane,5.0854468657305105
EQ_0011,Dump Truck,5.238143619189914
EQ_0012,Crane,10.889335183053591
EQ_0013,Dump Truck,13.456653899288657
EQ_0014,Excavator,13.30629636397676
EQ_0015,Dump Truck,11.698133187864357
EQ_0016,Crane,9.630474692314316
EQ_0017,Crane,1.2620994749257326
EQ_0018,Bulldozer,2.4244307114192063
EQ_0019,Excavator,13.478312827906189
EQ_0020,Dump Truck,9.09643589489385
EQ_0021,Bulldozer,0.13795577424944472
EQ_0022,Dump Truck,1.5220731429904815
EQ_0023,Dump Truck,9.952526536620837
EQ_0024,Bulldozer,0.0759237576932803
EQ_0025,Bulldozer,2.41212077126248
EQ_0026,Bulldozer,8.231006840498791
EQ_0027,Bulldozer,10.378427965390399
EQ_0028,Bulldozer,9.779418892539008
EQ_0029,Dump Truck,3.3640396419083967
EQ_0030,Bulldozer,10.682688320213037
EQ_0031,Excavator,3.558736312452001
EQ_0032,Crane,4.880995472389015
EQ_0033,Bulldozer,11.197371076770363
EQ_0034,Bulldozer,9.74449348570822
EQ_0035,Dump Truck,12.73835115741267
EQ_0036,Bulldozer,9.86419338450515
EQ_0037,Bulldozer,8.524629050032074
EQ_0038,Bulldozer,1.4051215174213871
EQ_0039,Dump Truck,5.515737045891503
EQ_0040,Bulldozer,3.9780355152258817
EQ_0041,Crane,3.659844650686254
EQ_0042,Dump Truck,14.595158321286684
EQ_0043,Crane,5.896465870001406
EQ_0044,Dump Truck,13.380698327656699
EQ_0045,Bulldozer,9.467079389958943
EQ_0046,Crane,11.922169553124727
EQ_0047,Dump Truck,7.539556396577882
EQ_0048,Excavator,8.653558269395386
EQ_0049,Bulldozer,7.387765407282958
EQ_0050,Dump Truck,2.9286448169706674
EQ_0051,Excavator,10.83678172892258
EQ_0052,Dump Truck,4.211585436612837
EQ_0053,Excavator,0.3647394964718076
EQ_0054,Bulldozer,9.682084438607518
EQ_0055,Crane,2.6566601911057344
EQ_0056,Excavator,14.106878765293715
EQ_0057,Dump Truck,14.30892865503881
EQ_0058,Bulldozer,13.722965853306729
EQ_0059,Excavator,5.552380503831666
EQ_0060,Dump Truck,0.23184924793301143
EQ_0061,Dump Truck,13.924778438815881
EQ_0062,Dump Truck,6.422762224759715
EQ_0063,Excavator,14.499822285655043
EQ_0064,Excavator,14.454299656338792
EQ_0065,Excavator,12.795141832010401
EQ_0066,Crane,4.416733381043786
EQ_0067,Excavator,5.776465929028879
EQ_0068,Excavator,12.767050072752854
EQ_0069,Excavator,4.753830077344165
EQ_0070,Crane,2.5423912002913873
EQ_0071,Excavator,8.352018936875252
EQ_0072,Dump Truck,14.042321612411715
EQ_0073,Excavator,10.440446950124596
EQ_0074,Dump Truck,8.550917551340474
EQ_0075,Dump Truck,1.4576474065615281
EQ_0076,Dump Truck,9.225108400487546
EQ_0077,Crane,14.850807751563949
EQ_0078,Crane,2.1012602285478605
EQ_0079,Crane,7.774944785456051
EQ_0080,Excavator,13.160596078919331
EQ_0081,Dump Truck,11.111529266313067
EQ_0082,Crane,10.45523611492902
EQ_0083,Crane,10.53726125980664
EQ_0084,Excavator,5.3923672682963275
EQ_0085,Crane,4.403877663967401
EQ_0086,Excavator,12.140417332177705
EQ_0087,Bulldozer,12.15170092018771
EQ_0088,Crane,13.006084778701556
EQ_0089,Bulldozer,13.698608288347069
EQ_0090,Excavator,7.670135982914067
EQ_0091,Dump Truck,7.522744420307994
EQ_0092,Crane,11.974427684501627
EQ_0093,Excavator,9.749458961666477
EQ_0094,Dump Truck,10.52950315886555
EQ_0095,Dump Truck,11.936890041541515
EQ_0096,Bulldozer,13.350080127263494
EQ_0097,Excavator,5.069927352773037
EQ_0098,Dump Truck,5.63374428959916
EQ_0099,Crane,1.409729097613035
EQ_0100,Crane,8.67420211494261
EQ_0101,Bulldozer,0.5391341069511313
EQ_0102,Dump Truck,6.983970271986903
EQ_0103,Excavator,8.13966952061365
EQ_0104,Crane,4.298118781924266
EQ_0105,Dump Truck,8.862498908535162
EQ_0106,Dump Truck,0.45750374908574143
EQ_0107,Bulldozer,0.5602228312382163
EQ_0108,Crane,12.339008409894873
EQ_0109,Crane,5.402859621168943
EQ_0110,Excavator,1.9059076897782719
EQ_0111,Crane,7.833648900822066
EQ_0112,Excavator,11.549903296479162
EQ_0113,Crane,3.2373154124526478
EQ_0114,Bulldozer,9.343357137285004
EQ_0115,Crane,1.28021197490652
EQ_0116,Excavator,0.7752258175291155
EQ_0117,Excavator,7.97031947352222
EQ_0118,Bulldozer,8.109526824151597
EQ_0119,Crane,9.561448522473098
EQ_0120,Crane,10.891370005839923
EQ_0121,Bulldozer,14.63778119193802
EQ_0122,Crane,7.74450522451793
EQ_0123,Crane,4.84434709411869
EQ_0124,Excavator,11.927792921530555
EQ_0125,Crane,4.062483768931113
EQ_0126,Crane,6.584571310584542
EQ_0127,Bulldozer,1.1768457201339895
EQ_0128,Bulldozer,0.38026115123186266
EQ_0129,Dump Truck,14.439726220168875
EQ_0130,Excavator,12.539701807683088
EQ_0131,Crane,10.43961309140547
EQ_0132,Crane,6.134294166214048
EQ_0133,Dump Truck,2.5994148010626867
EQ_0134,Crane,2.3465556400662906
EQ_0135,Excavator,3.75364347246893
EQ_0136,Dump Truck,8.238399970591807
EQ_0137,Excavator,10.718938840500934
EQ_0138,Dump Truck,9.90296065076597
EQ_0139,Dump Truck,4.199008454189142
EQ_0140,Bulldozer,14.322979209947912
EQ_0141,Excavator,11.068453750436527
EQ_0142,Crane,8.31531078767101
EQ_0143,Crane,9.175811193515283
EQ_0144,Excavator,6.2940009364168485
EQ_0145,Crane,3.715964842517362
EQ_0146,Crane,5.339590179768924
EQ_0147,Excavator,11.367691656965537
EQ_0148,Dump Truck,0.21590232944633803
EQ_0149,Excavator,1.7410896076037434
EQ_0150,Dump Truck,0.6900396303262912
EQ_0151,Crane,0.610932034784552
EQ_0152,Crane,12.831908760165108
EQ_0153,Crane,10.554867890700356
EQ_0154,Bulldozer,7.112607436309878
EQ_0155,Dump Truck,1.467512409765022
EQ_0156,Bulldozer,7.374238126752485
EQ_0157,Bulldozer,7.102076561708485
EQ_0158,Excavator,2.5980280486502276
EQ_0159,Bulldozer,6.507774738569595
EQ_0160,Excavator,5.977571015960602
EQ_0161,Excavator,9.237751470783246
EQ_0162,Bulldozer,9.526404763014657
EQ_0163,Dump Truck,0.6795601465806678
