maintenance_id,equipment_id,date,downtime_hours,cost,hours_at_maint
M_00001,EQ_0066,2024-01-06,41.372372525649254,7267.382648835092,1025.002945016907
M_00002,EQ_0095,2024-01-06,49.9793168515451,8233.348816149555,769.1527248039937
M_00003,EQ_0211,2024-01-06,40.92089357353825,4170.529726352192,700.2778123661077
M_00004,EQ_0258,2024-01-06,30.2636611531198,3709.4127912810136,848.7324331797538
M_00005,EQ_0278,2024-01-06,34.83978025859791,5748.149738975133,1031.041995921282
M_00006,EQ_0053,2024-01-07,59.61989886214807,7641.3154373096495,809.3174261604184
M_00007,EQ_0094,2024-01-07,36.71535767364976,2532.6602582683036,1010.5587528653684
M_00008,EQ_0158,2024-01-07,40.90232879064054,7761.071700172739,821.4363054191659
M_00009,EQ_0173,2024-01-07,49.75200944697965,5288.0116266444575,922.6938332890875
M_00010,EQ_0089,2024-01-08,45.73429157030563,9319.66408645289,688.2799751397367
M_00011,EQ_0106,2024-01-08,53.58178013390216,5536.5533441559355,824.7933202038984
M_00012,EQ_0109,2024-01-08,29.44456324824984,8263.712406328588,903.8312931530882
M_00013,EQ_0214,2024-01-08,37.08646336718529,4035.704480560199,778.6629767952676
M_00014,EQ_0220,2024-01-08,38.835140791176734,1862.7457586349515,827.0037106960311
M_00015,EQ_0097,2024-01-09,47.25487323368913,5466.48708223424,759.6036401013258
M_00016,EQ_0099,2024-01-09,16.75597066099042,6908.773925693675,994.7685096807709
M_00017,EQ_0121,2024-01-09,42.91121753235696,5676.303505008313,1020.8412201784225
M_00018,EQ_0131,2024-01-09,20.579853071726326,7009.279855358243,795.893740187316
M_00019,EQ_0209,2024-01-09,65.66812562852664,5620.678999981056,844.3112388393209
M_00020,EQ_0268,2024-01-09,56.81390011451001,6249.662169490121,850.148129316159
M_00021,EQ_0111,2024-01-10,52.23095062263791,4370.791855781572,1016.4179751446723
M_00022,EQ_0129,2024-01-10,14.322750502023965,3196.3097231720594,780.9718023944195
M_00023,EQ_0213,2024-01-10,22.43546862058362,1257.76676498762,1012.7949084344336
M_00024,EQ_0010,2024-01-11,70.50733711745033,1382.2224575230362,752.8684483429494
M_00025,EQ_0159,2024-01-11,37.76794959397219,2145.658726033844,951.7495633949993
M_00026,EQ_0291,2024-01-11,68.89369999735922,1088.2980724872416,643.7270511784876
M_00027,EQ_0030,2024-01-12,58.84476907592378,5620.122687370613,1018.556076668084
M_00028,EQ_0074,2024-01-12,16.888953710782097,2273.031511710913,691.5130290602084
M_00029,EQ_0189,2024-01-12,35.82415570968213,7027.19127975022,750.4784088297569
M_00030,EQ_0218,2024-01-12,44.87385610194161,7283.467331232897,1043.7217104476222
M_00031,EQ_0237,2024-01-12,71.69407508080286,1418.6003344071964,1063.0719424719791
M_00032,EQ_0117,2024-01-13,52.320461964167606,5921.7219334385645,1101.0349358961864
M_00033,EQ_0135,2024-01-13,26.819268955912023,9148.575826584241,934.0266484473048
M_00034,EQ_0238,2024-01-13,12.377076999659533,5790.10068039028,822.9354321087917
M_00035,EQ_0001,2024-01-14,71.57667121389069,9137.52781701809,725.5362618658689
M_00036,EQ_0141,2024-01-14,26.608872290289703,1804.657878851158,775.3718310937139
M_00037,EQ_0185,2024-01-14,66.36995983879982,6403.226322164851,958.689908345376
M_00038,EQ_0248,2024-01-14,62.534468344542084,8731.07749615472,702.3728101330308
M_00039,EQ_0294,2024-01-14,40.546574176810836,3662.007003904319,1053.350097015732
M_00040,EQ_0041,2024-01-15,43.60191227475519,9500.046121861782,811.3353435113146
M_00041,EQ_0043,2024-01-15,49.48824880348591,1730.9429559954287,665.7687843794217
M_00042,EQ_0254,2024-01-15,63.04800725728924,3057.9445457508914,743.7183931323732
M_00043,EQ_0056,2024-01-16,31.77480409792443,1759.24841425847,577.056344352867
M_00044,EQ_0125,2024-01-16,60.99744932289265,4105.40289074648,1007.2911187697589
M_00045,EQ_0136,2024-01-16,50.20241729224451,1484.9984279129994,892.0408710026217
M_00046,EQ_0207,2024-01-16,29.352138118564486,6954.3589711283785,990.7166591038107
M_00047,EQ_0288,2024-01-16,21.383219906011448,3135.459764423351,897.0873455708828
M_00048,EQ_0004,2024-01-17,44.732457128006,4187.922146873337,647.446381452524
M_00049,EQ_0133,2024-01-17,39.48766343882731,4948.911704406595,1114.167199346137
M_00050,EQ_0032,2024-01-18,34.39127361303473,7016.785574447826,947.8628475250404
M_00051,EQ_0082,2024-01-18,15.358279611710442,2796.600304759286,705.1593751272562
M_00052,EQ_0091,2024-01-18,37.1214249643172,1587.9161678593168,980.0075086111299
M_00053,EQ_0093,2024-01-19,58.52176658007699,3751.3861752390044,940.3034589439857
M_00054,EQ_0026,2024-01-20,63.7545471609572,5990.356094626101,587.5393421605535
M_00055,EQ_0076,2024-01-20,26.82270608942299,3096.8618860631746,744.0546851483974
M_00056,EQ_0166,2024-01-20,40.648889744938046,1974.9348181216158,793.5576537838167
M_00057,EQ_0192,2024-01-20,14.243848659606043,4598.915511845175,832.6043217833227
M_00058,EQ_0233,2024-01-20,14.939838206814361,4988.940595906768,821.1518029151975
M_00059,EQ_0110,2024-01-21,36.33750926777418,7693.428764783304,1098.5805451670196
M_00060,EQ_0245,2024-01-21,60.184656835973506,7826.803799296873,1089.5271837161374
M_00061,EQ_0272,2024-01-21,68.65153642962753,4098.316354757111,912.987821760554
M_00062,EQ_0096,2024-01-22,12.228588149618776,7724.740992750084,806.0034938403139
M_00063,EQ_0139,2024-01-22,58.75209838084029,9695.266597380481,649.2870772982495
M_00064,EQ_0174,2024-01-22,24.589572664368184,8337.39320344636,1066.4438044662304
M_00065,EQ_0215,2024-01-22,22.95104979839717,5587.95086856757,824.0277979774235
M_00066,EQ_0221,2024-01-22,24.241226176667798,8828.637365000333,887.1194248469542
M_00067,EQ_0256,2024-01-22,63.425107903797326,2495.182689165973,662.6998183433151
M_00068,EQ_0007,2024-01-24,52.17882521727549,8353.649361668107,1039.394417462745
