operator_id,experience_years
OP_000,15.023543486154406
OP_001,22.627792251783735
OP_002,2.090713128194989
OP_003,7.743116550213528
OP_004,23.80987561783741
OP_005,22.366330813381992
OP_006,11.93576206685711
OP_007,15.883182347236882
OP_008,7.657148391547184
OP_009,5.5149078333702715
OP_010,12.128761718559572
OP_011,9.480453472625268
OP_012,15.00774668442093
OP_013,2.865631287159636
OP_014,24.385475383987995
OP_015,24.669057867510467
OP_016,17.75588113647388
OP_017,13.866312792258888
OP_018,8.428662790871865
OP_019,20.531080472966767
OP_020,17.4335481412931
OP_021,4.902806544277391
OP_022,22.86225242785222
OP_023,20.740893830156054
OP_024,23.795197919006178
OP_025,18.41726820132064
OP_026,15.721964702458957
OP_027,11.037832870974853
OP_028,23.38548360049632
OP_029,21.7855333480098
OP_030,2.0852480825485458
OP_031,1.6328073879340481
OP_032,10.035120805073191
OP_033,20.45327993876399
OP_034,24.694627103558666
OP_035,4.610005386484676
OP_036,15.259137168451243
OP_037,10.141380559144515
OP_038,24.277945547550477
OP_039,21.21085415525701
OP_040,21.119888913067307
OP_041,12.248635835079288
OP_042,10.955668056103963
OP_043,7.56176972633695
OP_044,2.3530119196222508
OP_045,21.753337030121276
OP_046,20.50962421912186
OP_047,24.993224158867136
OP_048,24.91928408977373
OP_049,14.330360934463059
OP_050,19.455697964332252
OP_051,23.67437751717827
OP_052,21.391537376257876
OP_053,6.936354441836744
OP_054,11.813059247442244
OP_055,4.09982596363588
OP_056,23.89722465420934
OP_057,15.548191226821121
OP_058,6.487427332083105
OP_059,17.12081642574056
OP_060,15.8350777709895
OP_061,9.595905232788173
OP_062,3.7253822127910965
OP_063,17.11775669422719
OP_064,13.48738482169104
OP_065,19.535641401655344
OP_066,13.483924026687841
OP_067,21.452356007644962
OP_068,14.245764130587652
OP_069,14.46251131684927
OP_070,22.03968646380028
OP_071,10.683588789097529
OP_072,4.216365482815378
OP_073,1.6907842315201354
OP_074,19.123294136166855
OP_075,15.887429232483152
OP_076,17.897914434381367
OP_077,6.111139876213858
OP_078,4.272915414082474
OP_079,1.3490719760291663
OP_080,9.414101411358327
OP_081,15.158024484511195
OP_082,10.413857082393577
OP_083,11.499398128569498
OP_084,22.69980866784996
OP_085,9.358131208559207
OP_086,13.335747739835458
OP_087,19.807672305787435
OP_088,10.517026775710484
OP_089,15.930080805468965
OP_090,21.696729009921885
OP_091,23.78849496778341
OP_092,4.5297635422969105
OP_093,23.238103003875864
OP_094,12.810791033908917
OP_095,7.197865319175
OP_096,12.019258149718272
OP_097,24.52078180685145
OP_098,12.82283425582887
OP_099,8.890038646900198
